"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "Docker", "TypeScript JSX", "JSON", "YAML", "XML", "comment", "blank", "total"
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\hospitals\entities\hospital-setting.entity.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 43
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\hospitals\entities\hospital.entity.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 67
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\hospitals\entities\issued-license.entity.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 64
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\hospitals\entities\license-request.entity.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 57
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\hospitals\entities\password-reset.entity.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 49
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\hospitals\entities\revocation-event.entity.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 49
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\hospitals\his-schema-defaults.ts", "TypeScript", 179, 0, 0, 0, 0, 0, 0, 0, 0, 41, 24, 244
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\hospitals\hospitals.controller.ts", "TypeScript", 249, 0, 0, 0, 0, 0, 0, 0, 0, 53, 47, 349
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\hospitals\hospitals.module.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\hospitals\hospitals.service.ts", "TypeScript", 582, 0, 0, 0, 0, 0, 0, 0, 0, 69, 115, 766
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\signing\signing.service.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 73
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\vendor-gateway\vendor-gateway.controller.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 103
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\vendor-gateway\vendor-gateway.module.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\vendor-gateway\vendor-gateway.service.ts", "TypeScript", 135, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29, 165
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\webhook\webhook.service.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 75
"d:\HDSP_HYBRID\vendor-portal\backend\tsconfig.json", "JSON with Comments", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\HDSP_HYBRID\vendor-portal\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 5, 67
"d:\HDSP_HYBRID\vendor-portal\frontend\Dockerfile", "Docker", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"d:\HDSP_HYBRID\vendor-portal\frontend\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"d:\HDSP_HYBRID\vendor-portal\frontend\next.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"d:\HDSP_HYBRID\vendor-portal\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 1819, 0, 0, 0, 1, 1820
"d:\HDSP_HYBRID\vendor-portal\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 1, 30
"d:\HDSP_HYBRID\vendor-portal\frontend\src\app\(vendor)\history\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 8, 167
"d:\HDSP_HYBRID\vendor-portal\frontend\src\app\(vendor)\hospitals\[id]\hdsp-users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 437, 0, 0, 0, 14, 32, 483
"d:\HDSP_HYBRID\vendor-portal\frontend\src\app\(vendor)\hospitals\[id]\his-config\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1168, 0, 0, 0, 36, 73, 1277
"d:\HDSP_HYBRID\vendor-portal\frontend\src\app\(vendor)\hospitals\[id]\security\PasswordResetRequests.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 314, 0, 0, 0, 1, 19, 334
"d:\HDSP_HYBRID\vendor-portal\frontend\src\app\(vendor)\hospitals\[id]\security\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 239, 0, 0, 0, 2, 18, 259
"d:\HDSP_HYBRID\vendor-portal\frontend\src\app\(vendor)\hospitals\[id]\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 15, 148
"d:\HDSP_HYBRID\vendor-portal\frontend\src\app\(vendor)\hospitals\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 472, 0, 0, 0, 22, 33, 527
"d:\HDSP_HYBRID\vendor-portal\frontend\src\app\(vendor)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 118, 0, 0, 0, 2, 14, 134
"d:\HDSP_HYBRID\vendor-portal\frontend\src\app\(vendor)\licenses\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 9, 134
"d:\HDSP_HYBRID\vendor-portal\frontend\src\app\(vendor)\logs\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 7, 154
"d:\HDSP_HYBRID\vendor-portal\frontend\src\app\(vendor)\requests\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 309, 0, 0, 0, 21, 27, 357
"d:\HDSP_HYBRID\vendor-portal\frontend\src\app\(vendor)\requests\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 8, 137
"d:\HDSP_HYBRID\vendor-portal\frontend\src\app\forgot-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 119, 0, 0, 0, 1, 13, 133
"d:\HDSP_HYBRID\vendor-portal\frontend\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 5, 39
"d:\HDSP_HYBRID\vendor-portal\frontend\src\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 8, 79
"d:\HDSP_HYBRID\vendor-portal\frontend\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\HDSP_HYBRID\vendor-portal\frontend\src\app\reset-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 14, 137
"d:\HDSP_HYBRID\vendor-portal\frontend\src\lib\api\client.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 28
"d:\HDSP_HYBRID\vendor-portal\frontend\src\lib\api\vendor.api.ts", "TypeScript", 224, 0, 0, 0, 0, 0, 0, 0, 0, 22, 59, 305
"d:\HDSP_HYBRID\vendor-portal\frontend\tsconfig.json", "JSON with Comments", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"Total", "-", 11, 28, -105, 82, 27, -26552, -275, 62, -26983, -1481, -2467, -57653
